10,1050,7,8,8,366,6,
20,7,1,5,19,7,3,
40,37,9,9,96,14,2,
80,14,4,7,165,8,2,
160,14,4,4,359,8,1,
320,13,7,7,173,17,2,
640,22,13,15,112,21,1,
1280,42,26,29,427,33,1,
2560,53,100,102,2035,189,1,
5120,177,176,183,7278,1116,7,
10240,163,1216,1251,57625,480,3,
20480,41,19,41,116481,59,1,
40960,61,20,214,429102,119,2,
81920,108,44,149,1578673,173,10,
163840,651,241,909,6313167,340,2,
327680,884,328,1046,25098362,680,5,
655360,1077,387,1445,0,4227,8,
1310720,5655,1907,2062,0,5230,6,
2621440,5074,3930,19117,0,10848,6,
> 
